title,text,subject,date
 Snowflake Trump Demands An Apology From The Media And The Internet Laughs At Him,"Donald Trump went on a whining rant about the media on Tuesday morning and got totally humiliated.As he usually does, Trump woke up and immediately took to Twitter to attack Democrats, the courts, and the media.He accused Democrats of being obstructionists and once again declared that the Affordable Care Act is in a  death spiral,  a spiral he himself caused by attacking the law through executive orders.Trump also bitched about the 9th Circuit Court blocking his Muslim ban.But he saved most of his vitriol for the media.The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!  Donald J. Trump (@realDonaldTrump) June 13, 2017Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???  Donald J. Trump (@realDonaldTrump) June 13, 2017< /script></p> <blockquote class=""twitter-tweet"" data-lang=""en""> <p lang=""en"" dir=""ltr"">Heading to the Great State of Wisconsin to talk about JOBS, JOBS, JOBS! Big progress being made as the Real News is reporting.</p> <p>&mdash; Donald J. Trump (@realDonaldTrump) <a href=""https://twitter.com/realDonaldTrump/status/874619861019840512"">June 13, 2017</a></p> </blockquote> <p>Yep, Trump literally demanded an apology from the media for doing their jobs, which drew a belly laugh from Twitter users, who proceeded to mock Trump for being a snowflake.Like the time where they said Ms Universe had a sex tape and everyone should watch it even though it didn t exist?  Evan Dashevsky (@haldash) June 13, 2017Or the time the Fake News said your birth certificate was a fraud they STILL haven t apologized to you for that one! What gives?  Evan Dashevsky (@haldash) June 13, 2017Also, remember when the Fake News said your dad assassinated JFK. Still waiting for them to apologize on that one.  Evan Dashevsky (@haldash) June 13, 2017Where is your apology for trying to ban muslims, taking billions away from healthcare, destroying the environment, and betraying the USA?  Jules Suzdaltsev (@jules_su) June 13, 2017Translation:  Why won t the media worship me properly?  kim (@kim) June 13, 2017Where is your apology to the voters for claiming you won the popular vote?  Morten  verbye (@morten) June 13, 2017Where is your apology to Muslims in New Jersey for claiming they celebrated on 9 11?  Morten  verbye (@morten) June 13, 2017Where is your apology to John McCain for saying he is not a war hero?  Morten  verbye (@morten) June 13, 2017We ve officially stepped through the looking glass   Man who has never apologized for anything in his life is Whining about wanting apology.  Dana Smith (@Brady5thOrBust) June 13, 2017#Trump claimed Obama was born in Kenya and he complains about fake news.  Jeffrey Guterman (@JeffreyGuterman) June 13, 2017And that Obama put a  tapp  on his lines at trump tower.  Angela Jackson (@butterbeangabs) June 13, 2017Don t forget Microwave Spying!  Jamie (@xochewie) June 13, 2017And the  proof  of 3-5 million illegal votes!  Dana Smith (@Brady5thOrBust) June 13, 2017And the largest Inauguration crowd since Obama  D backl (@DanBackl) June 13, 2017It sounds like Donald Trump is the one who better start apologizing. He can do it all at once by resigning and turning himself in to federal authorities.Featured Image: Mario Tama/Getty Images",News,"June 13, 2017"
 Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,"Have you ever wondered where a phrase started? How about the phrase  prime the pump?  It is widely considered to mean the use of government money to get a project going. While it dates back to the 1800s, President Donald Trump is now claiming that he invented the phrase. In reality, the use of the phrase  prime the pump  predates Trump s own birth by a hundred years, and the use of it in the current economic sense has existed since the 1930s.In a recent conversation with The Economist, this exchange happened (they were talking about Trump s tax plan):The Economist: But beyond that it s OK if the tax plan increases the deficit? Trump: It is OK, because it won t increase it for long. You may have two years where you ll you understand the expression  prime the pump ? The Economist: Yes. Trump: We have to prime the pump. The Economist: It s very Keynesian. Trump: We re the highest-taxed nation in the world. Have you heard that expression before, for this particular type of an event? The Economist: Priming the pump? Trump: Yeah, have you heard it? The Economist: Yes. Trump: Have you heard that expression used before? Because I haven t heard it. I mean, I just I came up with it a couple of days ago and I thought it was good. It s what you have to do.According to The Free Dictionary:Prime the Pump: Encourage the growth or action of something, as in  Marjorie tried to prime the pump by offering some new issues for discussion.  In the late 1800s this expression originally was used for pouring liquid into a pump to expel the air and make it work. In the 1930s it was applied to government efforts to stimulate the economy and thereafter was applied to other undertakings.It is hardly surprising that a) Trump had never heard this phrase, as it is rarely used on Twitter and b) he would take credit for it. In a week with so many gaffes, lies and just strange behavior, this may not be as big an issue but it s clear how little this man knows and how little he understands the world and reality that the rest of us live in. Another explanation could be that Trump is much, much older than we have been led to believe and has gone completely senile.Featured image via Photo by Joe Raedle/Getty Images.",News,"May 11, 2017"
" Obama Tells Dems: This Is As Important As Hillary Vs Bernie, And You’re Blowing It!","Speaking to Democrats at a fundraiser at actor Tobey Maguire s house in California, President Obama issued a warning to his party that in addition to their focus on the presidential race between Hillary Clinton and Bernie Sanders, they desperately need to think about moving Congress out of Republican hands and back towards the Democrats.President Obama collected more than $1 million for his party s House and Senate candidates from Hollywood s Democratic elite Thursday and Friday, and left his deep-pocketed backers with what he termed a  professorial  lecture on the importance of recapturing Congress.Obama also told supporters that he would not be making an endorsement yet in the presidential contest (incumbent presidents usually wait until the party has chosen a successor in order to make a formal announcement). And he joked that he and his staff were too tired to run for a third term, even if he could.At another fundraiser, Obama pointed out that getting Democrats back in charge of Congress is very important.On Thursday night, Obama attended a large gathering at the Bel Air mansion of Disney Chairman Alan Horn and his environmentalist wife, Cindy. There, the president stressed the importance of  recognizing the enormous power of Congress and the difference between a Nancy Pelosi being Speaker of the House and a Paul Ryan being Speaker of the House. The President also highlighted the GOP blockade of Supreme Court nominee Merrick Garland, even though Garland has received praise from across the political spectrum. And he pointed out that the blockade would be eroded with more Democratic votes in the Senate since,  What we ve seen out of the Republicans in the Senate is not simply a refusal to confirm him thus far, but a refusal to meet with him or to have a hearing, or to have a vote. Obama went on to point out that crazed statements from Donald Trump and Ted Cruz have also helped to expose some of the extremism that happens every day in the House and Senate from Republicans, saying,  People act as if these folks are outliers. But they re not. The President said widespread coverage of their speeches and statements could help to motivate voters.Featured image via Flickr",News,"April 8, 2016"
 Ben Carson: Homeless Shelters Shouldn’t Be “Comfortable” Because People Might “Stay”,"If you didn t know that Housing and Urban Development Secretary Ben Carson was once a neurosurgeon, you would never believe he had any hint of intelligence just from the idiotic things he says.Today, Ben Carson was quoted in a New York Times interview painting an extremely solemn picture of what public housing will look like under the Trump administration. As Carson has said several ridiculous things during his own failed presidential campaign and while he was helping with Trump s campaign, this should hardly be surprising   but it will still infuriate you.Carson defended disabled and elderly people who might need public housing, and said we can t expect to do a great deal to take care of themselves.  But when it came to others who did not fall into those two categories but still needed public housing, Carson had something else to say. He said: There is another group of people who are able-bodied individuals, and I think we do those people a great disservice when we simply maintain them. The Times reported:Compassion, Mr. Carson explained in an interview, means not giving people  a comfortable setting that would make somebody want to say:  I ll just stay here. They will take care of me. It s safe to say that most of us have been taught a VERY different meaning of the word  compassion , and Carson s definition clearly does not fit. Carson has been traveling all over the United States to get a scope of public housing in places like Detroit and Miami. While he was in Ohio, Carson visited a facility for drug abusers and reportedly said: We are talking about incentivizing those who help themselves. Carson s attitude toward public housing is disgraceful, and ABC s Sunny Hostin was right to slam him immediately:Featured image via Joe Raedle / Getty Images",News,"May 3, 2017"
RACIST OPRAH MAKES SAME MISTAKE…TWICE,"Just remember, the woman who believes Hillary is the best candidate for the job because she has a vagina, is the same person who thought America needed the first Black President to bring us together  Never mind that the only thing keeping Hillary from spending the next two decades in jail is the  first black President  Oprah endorsed 8 years ago.Oprah Winfrey is throwing her support behind Hillary Clinton.Winfrey spoke with ET s Nancy O Dell at the premiere of her new OWN drama, Greenleaf, and the media mogul opened up about the possibility of America electing its first female president. I really believe that is going to happen,  said Winfrey, 62.  It s about time that we make that decision. Regardless of your politics, it s a seminal moment for women,  she continued.  What this says is, there is no ceiling, that ceiling just went boom! It says anything is possible when you can be leader of the free world. I m with her,  Oprah added, touting Clinton s campaign slogan and effectively endorsing the former Secretary of State. Clinton, the presumptive Democratic Party nominee for president, was also recently endorsed by President Barack Obama, who declined to back any candidate until the primaries had ended.   ET",left-news,"Jun 16, 2016"
"NOT GRASSROOTS: #Ferguson Protestors PAID Over $5K To Attack Police, Instigate Violence And Disrupt","The Ferguson #BlackLivesMatter protesters are spilling the beans on the so-called  grassroots  movement.Earlier this week black protesters staged a protest at at the office of MORE (Missourians Organizing for Reform and Empowerment) on Thursday to press their claim that groups led by whites have collected tens of thousands of dollars in donations off of the Black Lives Matter movement without paying the Black participants their fair share.Much more on that sit-in protest at MORE here.The black protesters threatened to  f*ck up  the white protest organizers.Now this  It s widely known thatFerguson activists were flown to New York City, Wisconsin, and even the West Bank to spread racial hatred.Now we know why they re so committed to the cause.They are being paid   quite a bit   to disrupt and initiate violence across the country.The protesters are talking online about how much they were getting paid to protest against the police and stir up racial hate in Ferguson and other communities since August.** Protesters were making MORE THAN $5,000 a month to disrupt cities and attack police!Listening to @search4swag live now on @JoePrich  they pointing out that @deray is getting paid by Soros  Independent CaT (@RealOrangeCat) May 16, 2015The far left billionaire George Soros pumped at least $33 million into the violent Ferguson protest movement, according The Washington Times.Many of the  grassroots  leaders were paid handsomely.And the protesters are wising up to Deray   who has been out every night tweeting and stirring up the race hate n numerous cities for several months. Black Lives Matter and Get Paid  Another group Resource Generation, a racist Socialist group, paid a million to the protesters.Via: Gateway Pundit",left-news,"May 17, 2015"
SUNDAY WIRE REPLAY: LIVE Show Off-Air for Maintenance,"ATTENTION: Episode #157 of SUNDAY WIRE SHOW is postponed until next Sunday Oct. 23, 2016  in the meantime, ACR will be re-streaming last week s power-packed episode here LISTEN LIVE ON THIS PAGE AT THE FOLLOWING SCHEDULED SHOW TIMES:SUNDAYS   5pm-8pm UK Time | 12pm-3pm ET (US) | 9am-12pm PT (US)With great regret, we are informing our listeners that due to essential network maintenance, this week s show has been rescheduled for next Sunday. This week we ll re-play last week s popular Episode #156 with guests Pierre Le Corf, Tom Duggan and Vanessa Beeley ACR LIVE STREAM     broadstreet.zone(46707);  ",US_News,"October 16, 2016"
Ron Paul on Burns Oregon Standoff and Jury Nullification for the Hammond Family,"21st Century Wire says If you ve been following the protest and federal standoff outside of Burns, Oregon, you ll have seen 99% of the news coverage has been about the presence of  armed militia  and endless rumors of FBI  Waco Siege  plots   and not about the core legal issues surrounding the Hammond family.For more in-depth analysis on minimum sentencing laws, jury nullification and property rights, watch the following Liberty Report hosted by Congressman and former presidential candidate Ron Paul is joined by the executive director of the institute for peace and prosperity, Daniel McAdams, along with Jacob Sullum, senior editor from Reason.com  ",Middle-east,"January 21, 2016"
OBAMA REGIME Uses Image Of U.S. Constitution In Spanish Speaking Ad Encouraging Illegals To Become Citizens/Voters,"A shameless promotion of amnesty by our Feds. Obama and the Democrats are willing to do whatever it takes It s all about the votes The Obama administration is encouraging the 8.8 million eligible lawful permanent residents to become U.S. citizen with efforts aimed at raising awareness about the process and pressing more immigrants to naturalize.Just for fun the Obama regime threw in this silly little reminder (see end of tweet where VOTE is prominently displayed in upper case letters. This tweet (featured in the Spanish speaking video) basically serves as a reminder: If you gain your citizenship through our efforts, you must vote to keep the Democrats (who were willing to sell out their nation) in office Monday, U.S. Citizenship and Immigration Services   the agency responsible for overseeing immigration to the U.S.   is out with a video composed of a compilation of  six word  entries via social media from  citizens of any country, living anywhere  about what U.S. citizenship means to them. Back in September, we asked you to share what U.S. citizenship means to you in six words using the hashtag: #citizenship6. You responded in ways that touched us, challenged us and showed us that one word has so many meanings,  the agency explained.The agency released two versions of the video one in English and one in Spanish. We also created banners for our home page that we ll post over the coming months. Enjoy the video, and please share it with your friends and family!  the agency added.In order to naturalize most applicants must demonstrate they can understand, read, write, and speak basic English.",left-news,"Dec 8, 2015"
SAY “HELLO” TO YOUR NEW NEIGHBORS! Clooney Begged For Open Borders…Now Massive Refugee Camp Is Erected In His Front Yard,"Karma it s a beautiful thing A massive makeshift refugee camp has been established in Lake Como, the popular and secluded celebrity hideaway in Italy where Hollywood A-lister George Clooney keeps a home.The migration of hundreds of people from Arab nations, Africa, and Asia was triggered following the Swiss government s decision to close its southern border with Italy.Now, waiting for smugglers to lead them into northern Europe, groups of migrants are camping out in tattered tents around the Lake Como resort.https://twitter.com/ScatterBrainPOD/status/753134667490930688Flimsy dwellings, clothes and trash are scattered around the Northern Italian town s railway station, where dozens of new families and refugees have flocked.https://twitter.com/PatriceArnold25/status/753183423573794825The migrant camp is, oddly enough, just steps away from the front door of immigration activists  George and Amal Clooney s multi-million dollar lakeside mansion in Lake Como, according to the Daily Mail.The power couple has spent some time talking about the migrant crisis. The Clooneys met privately with German Chancellor Angela Merkel in February and praised and thanked her for her leadership during the crisis.The Clooneys have taken refuge from the Hollywood spotlight in their summer home in Italy for years. Last year, Page Six reported that Clooney was mulling putting his Lake Como villa on the market due to ever-present and intrusive paparazzi.It is unclear if the recent deluge of refugees pouring into town will have an affect on Clooney s decision to sell or not.   BreitbartRead more: Daily Mail",left-news,"Jul 13, 2016"
