content,label
"The Jerusalem Decision: From Creative Chaos to Effective Turmoil  Dr Can Erimtan 21st Century WireDid Donald J. Trump have any idea about the impact his words would have across the world?!? Did he have any idea that the whole wide world, including the United Nations, would turn against him?On Wednesday, 6 December 2017, in the White House s Diplomatic Reception Room the President of the United States proceeded to make history, or, proceeded to leave his personal mark on the flow of world events as his words set a whole chain of global events in motion: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. While previous presidents have made this a major campaign promise, they failed to deliver. Today, I am delivering. In his preamble to this potentially explosive and arguably rather disconcerting statement, Trump explained that  [i]n 1995, [under Bill Clinton s watch, that is] Congress adopted the Jerusalem Embassy Act, urging the federal government to relocate the American embassy to Jerusalem and to recognize that that city   and so importantly   is Israel s capital. This act passed Congress by an overwhelming bipartisan majority and was reaffirmed by a unanimous vote of the Senate only six months ago.  In this way, the 45th U.S. President showed himself to have been cut from a completely different cloth indeed, as he uttered words that neither Bill Clinton, nor George W. Bush or, more importantly perhaps, Barack Obama had dared speak.Yes, Trump openly came out and made plain the deep love that dare not speak its name   in spite of the vehemently pro-Israel stance taken by the U.S. ever since the time of President Eisenhower (1953-61) and particularly, ever since the Six Day War (5-10 June 1967), in spite of the ceaseless activities of AIPAC and J Street, no previous incumbent had dared bestow a bona fide U.S. Embassy to Jerusalem as a physical token of the deep and ardent bonds between the New World and the Promised Land. Only, Donald J. Trump had the gall to  deliver,  doing what Clinton had promised yet none of his successors had been able to realise . . . until now, that is.In true Aristotelian fashion Trump took the potentiality that was Jerusalem (known as Al Quds or the Sacred City in the Muslim world) and turned it into an actuality by means of pledging full ambassadorial honours for the ancient city. Following these presidential words, outspoken Israeli voices did not take long to heap praise on the White House. Mark Regev, the erstwhile spokesman for the Ministry of Foreign Affairs in Jerusalem (2004-7) and frequent Israeli apologist appearing on various mainstream media, and currently even active as Israeli Ambassador in London (since 2015) blurted out that he  think[s] this was a just move and a good move for peace. His boss, Bibi or Benjamin Netanyahu (fourth premiership, 2015 present) was equally forthcoming, talking to the press on the same day the U.S. President made his performance in the Diplomatic Reception Room:  Thank you President Trump for today s historic decision to recognize Jerusalem as Israel s capital. The Jewish people and the Jewish state will be forever grateful.  The PM in the next instance also echoed his ambassador s words, declaring that  [t]here is no peace that doesn t include Jerusalem as the capital of Israel. The idea that Jerusalem should be at the heart of the Jewish people s  land and nation namely has its roots in the Bible, in 2 Chronicles 6:5-6, to be precise:  Since the day I brought my people out of Egypt, I have not chosen a city in any tribe of Israel to have a temple built so that my Name might be there, nor have I chosen anyone to be ruler over my people Israel. But now I have chosen Jerusalem for my Name to be there, and I have chosen David to rule my people Israel,  as worded in the New International Version. And Bibi knows that too.Bibi even took his words of praise abroad. First to Paris, where he met with President Emmanuel Macron, who had urged his U.S. counterpart to preserve the city s status quo prior to Trump s Diplomatic Reception Room performance (10 December 2017). Bibi disagreed volubly with the Frenchman, characterising as  absurd  anyone not willing to recognise the  millennial connection of the Jewish people to Jerusalem.  Next, even proceeding to refer to God s word that had elevated Jerusalem to its lofty position as site for his temple:  [y]ou can read it in a very fine book   it s called the Bible.  The following day he went to Brussels, where he attended a meeting of EU Foreign Ministers (11 December 2017). The Israeli PM told the gathered EU FM as well as the assembled press corps that Trump s Jerusalem declaration  makes peace possible because recognizing reality is the substance of peace, the foundation of peace. The Invention of the Jewish People and the Position of Jerusalem in IslamThe state of Israel, as a Jewish nation state implanted on Middle Eastern soil in 1948, employs nationalist myth and religious tradition as credible arguments justifying its mere existence. The Israeli journalist and author Daniel Gavron, for example, states that  most Israelis [regard it as] axiomatic that the celebrations for the 3,000th anniversary of the conquest of Jerusalem by King David [in 1995] mark[ed] a real and tangible event,  even though he himself doubts its authenticity. In other words, the Jewish people, as a shorthand for the Israeli citzenry, have apparently already been following the political and ideological leanings currently exhorted by Bibi for quite a while. But, as I explained at length some time ago, the mere mention of the term  nation  or even just  people  is a problematic issue in its own right   the point that I am trying to get across is that  nations  or  people  cannot be perceived as  natural  or even  organic  phenomena, but rather as contrived and constructed social units consisting of individuals who willingly become part of a larger  artificial  whole through the manipulation and management of larger forces and structures   leaders of men and their organisations. It has been nearly ten years now that the historian Schlomo Sand published his groundbreaking text The Invention of the Jewish People, which attempted to popularise the theoretical constructs of writers and thinkers like Benedict Anderson and Ernst Gellner, amongst others, but, as seems blatantly apparent from looking at Bibi s recent proclamations, his message has clearly failed to penetrate the academic bubble, in spite of having topped Israeli bestseller list  for nineteen weeks. With regard to the city of Jerusalem, on the other hand, archeological evidence appears to prove conclusivedly that the  site has been continuously occupied for some 5,000 years,  signalling the urban centre s pre-Jewish roots. But the notion that King David conquered the place to establish the one true god s temple seems rather shaky. Gavron explains that the  biblical account of the capture of the city is the only one we have, and in the opinion of most modern scholars, the Bible is not an entirely reliable historical document.  Still, archeological excavations carried out in the summer of 1993 appear to have produced evidence that a certain David indeed founded a dynastic live in the 10th century BCE   namely, a small  triangular piece of basalt rock . . . subsequently identified as part of a victory pillar erected by the king of Syria and later smashed by an Israelite ruler  carrying an Aramaic inscription talking about a  Beit David ( House  or  Dynasty of David ). But the Jewish  conquest  of Jerusalem did not mark the end of the city s story of military takeover and/or occupation: remaining in ancient times, the Assyrian King Sennacherib laid siege to the city in the year 701 BCE, whereas the Babylonian Nebuchadnezzar captured the city in the seventh year of his reign (598 BCE), but of greater importance is the sack and destruction of the city and its temple at the hands of Titus, son of the Roman Emperor Vespasian (70 CE), in response to the Jews  Great Revolt against Rome that had sprung up in 66 CE. The ultimate outcome of Rome s harsh response was the  Diaspora,  as explained by the American rabbi, lecturer, and author Joseph Telushkin, who estimates that  as many as one million Jews died  as a result, while carrying in its wake the  almost two-thousand-year span of Jewish homelessness and exile.  With the majority of Jews apparently dispersed from the land and city, Jerusalem was eventually conquered by the Caliph Umar (reign 634-44) in the year 638, an event which seems to have taken place following a  peaceful siege, no blood was shed,  in the words of Zia H Shah, a New York-based physician and the Chief Editor of the Muslim Times. The addition of Jerusalem to the Dar al-Islam (or, the abode of Islam) was important. Though the city s name does not appear specifically in the Quran (containing only a reference to  al-Masjid al- Aqsa  or the  Furthest Mosque,  17:1), it is the locus of the Prophet s miraculous Night Journey (or Mi raj). The story, as related in various prophetic traditions (or hadith), tells how the figure of the Prophet travelled from  Makkah to the Furthest Mosque (in Jerusalem), from whence he ascended Heaven, so that Allah might  show him of Our signs. As a result, the Masjid al- Aqsa, arguably built by the Caliph Umar though no historical records exist to this effect, is regarded as the third most sacred mosque in Islam, following the Masjid Al-Haram in Makkah, and Al Masjid An-Nabawi in Madinah.A Pseudo-Ottoman Gambit: Diverting Attention for a PurposeAs a result, Donald Trump s Diplomatic Reception Room stunt far supersedes the thorny Palestinian issue, the life-and-death matter of peace in the Middle East, or even the real estate division between East and West Jerusalem. The English-language pan-Arab television channel Al Jazeera English matter-of-factly point out on its website that  [v]iolence, protests and arrests have followed US President Donald Trump s decision to recognise Jerusalem as the capital of Israel. All across the globe Muslims have taken to the street to voice their disapproval of Trump s latest attempt to act like a real president, a president unlike any of his predecessors:  [r]allies against Trump s decision also took place in the Indian city of Mumbai, the Malaysian capital, Kuala Lumpur, and the Japanese capital, Tokyo.  But also in Turkey   where President Recept Tayyip Erdo an (aka the Prez)  has been at pains for years to appear as a rightful heir to the Ottoman sultans of old   after all, Sultan Selim I (1512-20) took hold of the city of Jerusalem in 1517, remaining part of the Ottoman fold till the onset of the British Mandate (1917-48). On Thursday and Friday, (7-8 December 2017),  spontaneous  meetings took place throughout the whole of the country, from Istanbul over Bursa, Ankara, and Mersin, to Hatay, Gaziantep, Tatvan, Adana, Van, and Kahramanmara . More importantly, the 57-member Organisation of Islamic Cooperation (OIC) held a meeting in Istanbul on 13 December 2017, and the Prez employed this platform to portray himself as the ultimate champion of Islam, defying not just the United States of America and Israel, but also the Kingdom of Saudi Arabia, the nominal Custodian of the Two Holy Mosques. As I have written quite some time ago, the Prez is more than determined to challenge his erstwhile friend and ally King Salman and see himself as the rightful Calip of the world of Islam, in true pseudo-Ottoman fashion.The OIC meeting dutifully released its  Istanbul Declaration on  Freedom for Al Quds' : [a]ppreciating the Republic of Turkey and the Turkish people for hosting the Extraordinary Islamic Summit regarding this important cause of Ummah, especially the call for this Extraordinary Summit made by His Excellency Recep Tayyip Erdo an (image, left), President of the Republic of Turkey . . . We reject and condemn the US Administration s unlawful statement regarding the status of Al Quds . . . Just like the fact that Israel s decision to annex Al Quds and its actions and practices therewith are never accepted, we declare that this statement is identically null and void from the point of view of conscience, justice and history. We invite all members of the UN, the EU and the international community to remain committed to the status of Al Quds and all related UN Resolutions. Rather than accomplishing anything much at all, the extraordinary OIC meeting primarily served to heighten Tayyip  Erdo an s prestige, at home as well as abroad. As such, a cynic would say that Trump s timing was impeccable, as 17/25 December marks the anniversary of the scandal variously known as #AKPgate that erupted in 2013, and that presently was very much on people s minds in Turkey given that the Turkish-Iranian businessman Reza Zarrab (or R za Sarraf, in Turkish) was appearing in court in New York. The court case investigates breaches of the sanctions placed upon Iran and many Turks eagerly followed the proceedings on Twitter. One Istanbul-based writer Kareem Shaheen described the accusations as follows:  [i]n a case that has strained relations between Turkey and the US, Reza Zarrab, a Turkish-Iranian gold trader, described a sprawling money laundering network that allowed Iran access to international markets from 2010 to 2015 in violation of sanctions over its nuclear programme. He told jurors in New York on Thursday [30 November 2017] that [Tayyip] Erdo an, who was prime minister of Turkey at the time, had personally authorised a transaction on behalf of Iran. Zarrab said he had [also] bribed the then Turkish economy minister Zafer  a layan and the former head of the state-owned Halkbank. As a result, given that the Zarrab case all but exacerbated the dire Turco-American relationship, Trump s Jerusalem declaration must have come as a welcome bolt from the blue for Erdogan. The decision to recognise Jerusalem as Israel s capital finally absolved the Erdogan from any attempts to salvage the cross-Atlantic relationship, and instead emboldened him to announce publicly that the Republic of Turkey is now the rightful heir to the Ottoman Empire and the only hope left for Muslims across the world, Muslims that have been victimised by years and years of oppressive U.S. foreign policy. And, putting a cherry on top of the proverbial cake of discontent, Erdo an announced on Thursday, 17 December 2017, that he would establish a Turkish Embassy in Jerusalem, representing Ankara in Palestine, to be clear. Speaking to an audience of faithful followers in the city of Karaman, the Prez declared  God willing, the day is close when officially, with God s permission, we will open our embassy there,  in Jerusalem.All the while, the Palestinian people continue to suffer and Israel employs any and every pretext available to stage military assaults on the Gaza strip and crack down on Palestinian protesters But, Trump has done his deed, leaving his indelible mark on the Middle East, while the Prez, in turn, can now rightfully claim that he alone is able to represent the Muslim world on the international arena.*** 21WIRE special contributor Dr. Can Erimtan is an independent scholar who was living in Istanbul for some time, with a wide interest in the politics, history and culture of the Balkans and the Greater Middle East. He attended the VUB in Brussels and did his graduate work at the universities of Essex and Oxford. In Oxford, Erimtan was a member of Lady Margaret Hall and he obtained his doctorate in Modern History in 2002. His publications include the book  Ottomans Looking West?  as well as numerous scholarly articles. In the period 2010-11, he wrote op-eds for Today s Zaman and in the further course of 2011 he also published a number of pieces in H rriyet Daily News. In 2013, he was the Turkey Editor of the  stanbul Gazette. He is on Twitter at @theerimtanangleREAD MORE PALESTINE NEWS AT: 21st Century Wire Palestine FilesSUPPORT 21WIRE   SUBSCRIBE & BECOME A MEMBER @21WIRE.TV",0
"WEEK #13 of NFL HELL CONTINUES: “Lots of Empty Seats For The Biggest Game of The NFL Week” Here are just a few examples of the empty or mostly empty NFL stands across America today:The stands appear to be mostly empty for the Atlanta Falcons V. Minnesota Vikings game, in what NFL fans were calling the biggest game of the week on Twitter.Lots of empty seats for the biggest game of the NFL week  pic.twitter.com/kQDZySMFtU  Brian Handke (@brianhandke) December 3, 2017Here s another shot of the empty seats at the Atlanta vs. Minnesota game in Atlanta:Caption: ""What s up with ALL the empty seats? 30% empty? Could it be tix are too expensive? Fans don t want to pay the PSL?"" (https://t.co/ceK9VSHPuT) pic.twitter.com/ZftCoDwwr8  Empty Seats Galore (@EmptySeatsPics) December 3, 2017It appears as though Jacksonville fans found something better to do than watch the Indiana vs. Jacksonville matchup.Pic via an Indiana talking head #INDvsJAX RT @cliffWISH8:   available for the Jags playoff push. I repeat. pic.twitter.com/XfcVfkh5EJ  Empty Seats Galore (@EmptySeatsPics) December 3, 2017Here s a close up of the empty seats in Jacksonville:What are those? pic.twitter.com/SYqmwKZyBl  Jags Ghost (@Battle4Duval) December 3, 2017Meanwhile, back in the Midwest, a lot of empty seats can be found again this week in Chicago s Soldier Field, that is usually a sold out venue:There are some empty seats here at Soldier Field. It looks like the Lions game two weeks ago: pic.twitter.com/rEfsrT0hD9  Adam Jahns (@adamjahns) December 3, 2017Here s a close up of the empty seats in the upper deck at the Bears game:A lot of empty seats in the upper deck today. #Bears pic.twitter.com/eqdnpdDbl7  Zack Pearson (@Zack_Pearson) December 3, 2017The north end zone doesn t look any better:Good amount of empty seats in north end zone. pic.twitter.com/YQJwnpvwGv  Jeff Dickerson (@DickersonESPN) December 3, 2017I know that I am a goat, but do I smell that bad? 49ers at Bears. Media deck. @EmptySeatsPics pic.twitter.com/7JiTEczWXh  prof. goat (@ProfGoat) December 3, 2017The Buffalo Bills played the NE Patriots, 2017 Superbowl championship team, and former NFL fans didn t seem to care enough to show up and watch the game :A lot of empty seats came out to see the Bills play the Patriots today @EmptySeatsPics pic.twitter.com/NgGSwdEkqP  Darin Weeks (@DarinJWeeks) December 3, 2017 ",1
"Active Shooter Drill Suddenly ‘Goes Live’ at Joint Base Andrews in Maryland SEE ALSO: 21WIRE calls out US media for hyping fake  Active Shooter  event at Andrews BaseDaily Shooter 21st Century WireWashington DC area was put on high alert today following reports of an  Active Shooter  a Joint Base Andrews in Maryland, home of the president s Air Force One private jet.The base has been placed on lock-down and first responders are on-scene following a report of an active shooter at the Malcolm Grow Medical Facility located on Andrews.Authorities have instructed all personnel continue to  shelter in place. JBA is currently on lockdown due to a report of an active shooter. All personnel are directed to shelter in place. More info as it comes.  Joint Base Andrews (@JBA_NAFW) June 30, 2016There s only one problem with this story: we also learned that the base had planned a no-notice  Active Shooter Exercise scheduled for 9 am this morning, and as if by some amazing coincidence, during exercise, local first responders received emergency calls about a  real world  active shooter on the base. Still, this hasn t stopped flippant news anchors and  expert  analysts from US media outlets like CNN and FOX News from going into media-siege mode, and treating the event as if it were a real  active shooter  event   and injecting addition, unnecessary fear in the public discourse this morning.If one follows the inter-agency security protocols for a security exercise such as this, it would play out more or less exactly as it has today thus far, as evidenced by announcements by what other law enforcement and emergency services are saying.NBC News local affiliate adds here: Fort Belvoir in Virginia says it is increasing its  security posture  in response to the incident at Joint Base Andrews. It has advised its personnel to stay clear of Joint Base Andrews.  Last month Andrews had another  active  event, in what apparently turned-out to be a non-threat. Last month, Joint Base Andrews was placed on lockdown after a woman walked onto the base and claimed she had a bomb. An Explosive Ordinance Disposal team found the woman had no explosives, and she was apprehended.  The only question left now is: is this a real  active shooter  situation, or is this merely another example of a  drill gone live ?UPDATE 11:15AM ET: [Yes, we called it before authorities finally admitted  it was only drill ] JOINT BASE ANDREWS, Md.  Andrews Air Force Base is  all clear  after a lock-down Thursday morning, amid confusion during an active shooter drill, according to a law enforcement official. According to a public information officer in the Washington office, the reason for this is because of the confusion over reports of a drill or an actual incident. The FBI field offices let security on Joint Base Andrews sort out the confusion.  (FOX6 NOW) Joint Base Andrews was locked down just after 9 a.m. after someone mistook an active shooter drill for the real thing, senior law enforcement officials told NBC News. All personnel were directed to shelter in place,  said NBC News.""All Clear."" The lock down on base has been lifted  Joint Base Andrews (@JBA_NAFW) June 30, 2016SEE ALSO: TROUBLE IN THE HOMELAND: Chattanooga s Made-for-TV PsychodramaREAD MORE DAILY SHOOTER NEWS AT: 21st Century Wire Daily Shooter FilesSupport our work and Become a Member @ 21WIRE.TV ",1
"BREAKING: STARBUCKS CEO To Step Down After Pledge To Hire 10,000 Refugees BACKFIRES The arrogance of a CEO of a major company like Starbucks, that would put his radical political opinions above the health of the company and the stockholders is astounding. The idea that Howard Schultz believed he could say Starbucks would make hiring 10,000 refugees a priority, while so many Americans are out of work, and it wouldn t harm the Starbucks brand is beyond foolish Howard Schultz, the current CEO of Starbucks, will step down from his role at the giant coffee chain next month.The move comes after his vow to hire thousands refugees in response to President Donald Trump s first travel ban appeared to hurt customer sentiment and dent their sales.Trump supporters have called for a boycott of the chain since January 29, when Schultz vowed to hire 10,000 refugees over five years.Schultz in a letter to employees said the promise of the American Dream was  being called into question  and that  the civility and human rights we have all taken for granted for so long are under attack. He was also a public Clinton supporter and prominent democrat, and even considered as a running mate for the Democratic nominee at one point.Almost immediately consumer perception levels took a hit as measured by YouGov BrandIndex s Buzz score, falling by two-thirds between January 29 and February 13.At the time, analysts at Credit Suisse said the coffee giant s move had a negative impact on recent sales, and could continue to hurt them in the near future.Schultz, with an estimated net worth of $3.1billion, will remain at Starbucks as executive chairman and will focus on strengthening the company s high-end coffee shops.Schultz will be replaced as CEO by Kevin Johnson, Starbucks  chief operating officer, on April 3, 2017, The Seattle Times reported. Daily Mail ",1
"MITCH MCCONNELL: The Senate Will Not Take Up Nomination of Merrick Garland Mitch McConnell just made a statement on the Senate floor that the Senate will  follow the Biden rule  and wait until a new administration comes in to consider a Supreme Court nominee. McConnell made the case that the Senate has the right to do this and that it s not against Judge Garland. Garland is a liberal judge but not as left leaning as some who were considered for the nomination on the Supreme Court. In fact, Orin Hatch of Utah was quoted as saying Garland would be a good choice. Obama must have called his bluff on this one. The Senate s not biting and will stick to its guns or risk even more criticism from Republicans.CSPAN VIDEO: MCCONNELL STATEMENT",0
" Trump Jr. Goes Full Dumba** On Twitter By Promoting Wrong Day Of Virginia Election Oops.When you mistake a mistake one time, it s understandable. But Donald Trump s idiot son and namesake made the same error over and over again on Twitter, and it could hurt the candidate his father supports in the Virginia race for governor.Republican Ed Gillespie has been enjoying Trump s support for months. But he probably wishes Trump Jr. would shut the hell up.On several occasions on Tuesday, Trump Jr. urged Virginia conservatives to go out and vote for Gillespie on Wednesday, which is the day after Election Day.Let s take @EdWGillespie across the finish line tomorrow! Virginia: get out and vote for Ed & entire @GOP ticket #VAGov #VA  Donald Trump Jr. (@DonaldJTrumpJr) November 7, 2017Virginia, the future of the Commonwealth is at stake tomorrow. Find your polling place at https://t.co/j7EyqNhth4 to vote Ed for #VAGov  Donald Trump Jr. (@DonaldJTrumpJr) November 7, 2017Trump Jr s expert level idiocy earned him a righteous mocking on Twitter.Think you mean today not tomorrow   Jake Tapper (@jaketapper) November 7, 2017Oh my dearest fuck. Jnr will bring the entire GOP down with his dimwitted and blind dumbfuckery.  Theironfront (@Theironfront1) November 7, 2017dumbest trump family member  KRANG T. NELSON (@KrangTNelson) November 7, 2017He's never voted. He has no idea when it is  Chris Valotta (@ChrisValotta) November 7, 2017 pic.twitter.com/MYJ9TJfZuI  Nancy Vigeant (@nancy02719) November 7, 2017Knowing things is hard. Especially when you re a Trump.  Steve Bouchard (@sbouchard67) November 7, 2017If you had half a brain magnified a thousand time you could stick it up a nat s butt and it would rattle like a be-be in a box car.  Robert Taraschi (@MilestoneIdeas) November 7, 2017Seriously, the apple did not fall far from the tree at all.Featured Image: David Becker/Getty Images",1
"DO WOMAN WANT TO ELECT A BULLY Whose Campaign Works With Shady Operatives To Incite Violence Against Women, Children And Senior Citizens? [VIDEO] As a mother of three young girls, Hillary is the last person I would consider a role model for women. She is cold, calculating and has a long history of disrespect and accounts of  violent behavior towards her subordinates and even her husband Bill. More than one secret service agent has come forward to tell the truth about Hillary and her violent temper. One of her secret service agents tells of the disrespect Hillary showed for  the secret service agents who risked their lives to keep her safe by greeting them with,  F**k off! It s enough that I have to see you shit-kickers every day, I m not going to talk to you too!! Just do your G*damn job and keep your mouth shut. (From the book  American Evita  by Christopher Anderson, p. 90- Hillary to her State Trooper bodyguards after one of them greeted her with  Good morning. ) In  The Clintons  War On Women  (Skyhorse), out Oct. 13, political strategist Roger Stone details Hillary s abusive behavior   dating back to the Clintons  days in Arkansas, where Bill served as governor. Hillary Clinton has a long history of being domestically violent with Bill,  Stone writes.  Hillary has beaten Bill, hit him with hard objects, scratched and clawed him, and made him bleed. When you spend your whole life acting like a bully, it should come as no surprise to anyone that Hillary would approve of the kind of hateful behavior we ve seen from her supporters towards the only man who has the ability to take away the one goal she s worked for her entire life. Effective leaders inspire movements that exist only when people choose to move in the same direction. Without a leader, movements fragment and get nowhere. The leader s job is to inspire people to work together in the service of something greater than themselves. Does anyone really believe that Trump supporters deserved to be sucker punched, kicked, beaten, or have objects lobbed at their heads and bodies? What if the reason innocent Trump supporters were randomly attacked is because a certain  leader  of the Democratic Party feels her grip on the American people slipping away by an outside force she never counted on?What if Hillary actually condoned violence against Trump supporters, as a way to intimidate them, hoping they d be afraid to attend future Trump rallies? What if the massive number of Trump supporters showing up at his rallies caused Hillary to panic and  fear she may have to explain to the press why she couldn t even fill a high school gym with her supporters?What if Trump represented all that the Left has fought so hard to erase from American history and culture?  And what if Hillary was working in conjunction with our current President and other underground figures actually condoned this kind of violence against Trump supporters even paid for it?If you ve seen any of the recently released Project Veritas videos, you d know that this is not only a possibility, but a shocking reality. Even some of the most ardent supporters of Hillary should be sickened by the actions this woman and her party are willing take in order to maintain their power.Here are a few videos every American should see before stepping into the voting booths or mailing in their absentee ballots. Every American needs to ask themselves if they want to see a leader who inspires violence, division and hate or, if they desire a true leader of all people, who has one goal to make Make America Great Again Here s Donald Trump on the violence committed against his supporters:Here s Hillary committing psychological warfare against Trump and his supporters, as she attempts to blame Donald for the violence being committed against his followers:https://youtu.be/lAoYEY6DSscThese violent anti-Trump activists will harm anyone who gets in the way of them achieving their goals, even an 8 and 11 year old girl:Our very own Vice President Joe Biden says he d like beat up Donald Trump behind the gym. Hmmmm .sounds like another Democrat inciting violence #HillarysBullies are the worst of America pic.twitter.com/jCOi57likH  Hardhat Patriot (@Hardhat_Patriot) October 26, 2016Who can forget the young man who was walking down the sidewalk holding a Trump sign and was sucker punched in the back of his head, then was chased down by a Muslim man who tackled to the ground? He barely got away from this angry mob who descended on him and threatened his life over his support for Trump:Here s a Hispanic senior citizen who was attacked by what appears to be a mob of angry Hispanic Hillary supporters (likely illegal aliens):We did a story in March about a disabled veteran who walked 3 miles with a cane to get to the Trump rally after anti-Trump activists shut down the road that led to his rally:Finally, a compilation of attacks on Trump supportershttps://youtu.be/FvBH7f6KJeU",1
" Hillary Clinton Just Tossed Charles Koch A HUGE F*ck You After Kinda-Sorta-Endorsement (SCREENSHOTS) We have some bad news for Charles Koch: Hillary Clinton just isn t that into you. Recently, the evil billionaire backer of the Tea Party announced that Republicans are so terrible, he is forced to admit that Hillary Clinton is possibly better than all of them. Koch told ABC s This Week that Clinton s husband was a much better President in terms of government spending than was George W. Bush, who is idolized by many conservatives. In some ways. In other ways, I mean he wasn t an exemplar. But as far as the growth of government, the increase in spending, it was 2.5 times under Bush than it was under Clinton,  Koch said, explaining that for Hillary to be a better President than the entire Republican field, she would have to be a gigantic hypocrite who can be bought and sold like everyone else they back. Asked if he would support her campaign for President, Koch said: We would have to believe her actions would be quite different from her rhetoric, let me put it that way. While Koch is in love with Clinton as anyone on the Right is going to get, he probably should not expect much from her. On Sunday, Clinton let the Koch brothers know what she thinks of them and their money by essentially telling Charles to go f*ck himself.Referencing the Kochs  climate denial and attempts to suppress minority voters, Clinton explained that she could not accept an endorsement from someone so evil.  Not interested in endorsements from people who deny climate science and try to make it harder for people to vote,  she said, linking the interview.Yes, it s no secret that the Republican field is chock-full of terribleness, but Koch is almost certainly not going to find any friends among Democrats these days. It s far, far too late for that.Watch the interview below:https://www.youtube.com/watch?v=Pvqf3mSz8yQFeatured image via Getty Images (John Moore)/screengrab",1
" The White House Just Confessed The REAL Reason For Syria Attack; It Is DISGUSTING (DETAILS) While many have been baffled and upset by Donald Trump s reckless decision to attack Syria (without Congressional approval), the inner details of what drove Trump to make such a decision are even worse.Senior White House officials have just confessed that this attack against Syria was nothing more than a publicity stunt for Trump, to feed his out of control ego. According to those officials, the poorly planned missile strike (which ultimately failed) isn t even part of a broader strategy or a step in a larger plan to remove Assad. It was absolutely meaningless, and its only purpose was to make Trump seem like a strong leader.CNN s Jim Acosta reported:While it s not surprising that Trump has no strategy for Syria (let s face it, he has zero strategy for anything he does), it s terrifying to actually see it play out before our eyes as an incompetent president puts America in grave danger.Basically, Trump used the U.S. military to make it LOOK like he was taking some sort of action on Syria, when really the exact opposite is true. There is no plan, and there likely will never be one. What Trump put on last night was merely a performance   and a damaging one. Already, U.S.-Russia relations have grown more tense as Russia is making moves to punish America for Trump s carelessness.The message Trump is sending to the world is terrifying   what we can expect during Trump s presidency is a show; just big empty gestures that won t actually carry any weight. Trump has basically shown Assad that he s not really going to do anything besides send 50 missiles his way. Now Assad   and the rest of the world   knows our president is all talk and almost no action. The strength and leadership that America once had in the world is disintegrating quickly.Featured image via Pool / Getty Images",1
" Bernie Sanders Just Used Trump’s Own Tweets To Publicly Shame Him On The Senate Floor Donald Trump s tweets just became the club progressives like Bernie Sanders are going to use to hammer him with over the next four years.It s no secret that Trump is obsessed with spewing all kinds of bullshit on Twitter, but they are a liability that will make Republicans regret making Trump their leader.Because messages on Twitter can live forever. Even if Trump deletes them, there are likely always going to be copies that were captured via screenshot.But Bernie Sanders didn t need to worry about that because Trump rarely deletes his past tweets, which made things awkward for Trump and the Senate Republicans as Sanders took to the floor to passionately defend Social Security, Medicare, and Medicaid, all three of which Republicans want to gut after Trump takes office on January 20th.Throughout the primaries and the presidential campaign, Trump told his supporters that he would not cut Social Security, Medicare, or Medicaid. Most prominently, he repeated that message on Twitter in May 2015 to claim that Mike Huckabee copied him by saying the same thing. I was the first & only potential GOP candidate to state there will be no cuts to Social Security, Medicare & Medicaid,  Trump wrote.  Huckabee copied me. Well, during his time on the Senate floor on Wednesday, Sanders used that very tweet against Trump, even going so far as to blow it up for all to see, to demonstrate that if Trump signs any legislation Republicans send him to target these sacred programs, he would be breaking a core promise to the people who voted for him.Sanders began by calling out Republicans for cruelly seeking to repeal Obamacare, which would leave millions of Americans without health insurance and increase the deficit by hundreds of millions of dollars.He then slammed Republicans for taking at a Medicare in their budget bill, a move that would eliminate Medicare as it currently exists, a government-run program that actually works to provide senior citizens the healthcare they need at a far lower cost than a private insurance plan would provide.Sanders also repeated a statement Trump made on April 8, 2015. Every Republican wants to do a big number on Social Security,  Trump said.  They want to do it on Medicare and they want to do it on Medicaid and we can t do it. It s not fair to the people who have been paying in for years. In March, Trump attacked Paul Ryan for planning to gut Medicare, but Trump made it clear that he doesn t support Ryan s plan because it will cost Republicans the election. Millions of people voted for him on the belief that he would keep his word,  Sanders declared.Here s the video via YouTube:Donald Trump is already backing away from his promises, which means his supporters were duped in the worst way. They were stabbed in the back and now have to face a future where Medicare, Social Security, Medicaid, and Obamacare do not exist. And they only have themselves to blame for believing Trump in the first place.Featured image via screenshot",0
